id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1205863810450954551,Huge Family Townhouse with 3 bathrooms|5km to City,93271399,Ryan & Eniko,,Wooloowin - Lutwyche,-27.4192676,153.0365201,Entire home/apt,231,7,11,2025-05-12,1.14,14,57,11,
1206059945616397747,Inner-City 1-Bed with Pool & Spa,279001183,MadeComfy,,Fortitude Valley,-27.4600152,153.0324322,Entire home/apt,146,3,3,2025-05-25,0.29,93,324,3,
1206100297390861814,Top of Spring Hill—Balcony Bliss & Poolside Escape,519005019,Rudi And Ish,,Spring Hill,-27.4605056,153.0233523,Entire home/apt,175,3,15,2025-05-22,1.61,35,292,15,
1206153026173677501,#GardenView 3 BRM Apartment,29126659,Fiona,,Spring Hill,-27.46319,153.02604,Entire home/apt,383,2,1,2025-01-09,0.20,15,86,1,
1206178495055005562,1 Bdr Apt! GST Credits! Parking! Espresso! 116F1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.55483,153.01544,Entire home/apt,206,1,4,2025-05-17,0.43,103,351,4,
1206266253443798845,Chic Apt | James St Precinct | Pool | Free Parking,57201288,Sooraj,,Fortitude Valley,-27.45565,153.03997,Entire home/apt,92,3,27,2025-06-05,2.56,5,362,27,
1206314747674442317,Cozy 2Br Apt near the Brisbane River,580435306,Madison,,St Lucia,-27.4946245,153.0053032,Entire home/apt,208,1,16,2025-05-19,1.51,9,112,16,
1206430884939530105,Location! Room in Brisbane City Centre!,312147533,Jacky,,Brisbane City,-27.4718535,153.0288312,Private room,102,1,57,2025-06-04,5.63,6,137,57,
1206770983128725815,"CBD High Rise, River, CityWalk, FreeParking, Wi-Fi",535719931,Yue,,Brisbane City,-27.4669323,153.0164563,Entire home/apt,146,2,33,2025-05-26,3.14,5,131,33,
1206774249862722367,Luxury GolfCourse Home w/Theater/Yard @ CannonHill,97177917,Olivia,,Cannon Hill,-27.47892,153.09785,Entire home/apt,,2,17,2025-01-16,1.67,129,0,17,
1206866679812793176,2 Bdr Apt! Ac! Train! Shops! Restaurants 2144D2,525145710,Smart-Suites,,Sunnybank,-27.57812,153.05117,Entire home/apt,295,1,8,2025-04-27,1.07,103,356,8,
1206948462746610988,2 Bdr Apt! Aircon! Garage! GST Credits! 219D2,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.5456881,153.0113903,Entire home/apt,299,1,4,2025-04-30,0.40,103,354,4,
1206948536080321557,1 Bdr Apt! Ac! Train! Shops! Restaurants 2144D1,525145710,Smart-Suites,,Sunnybank,-27.57812,153.05117,Entire home/apt,210,1,11,2025-06-04,1.05,103,356,11,
1207072029564554200,Around the corner to everything,128639613,Adrian,,West End,-27.47928,153.01296,Entire home/apt,207,4,23,2025-05-19,2.32,1,47,23,
1207106878533133659,Lux Private Bedroom in Exclusive Home,74297817,Sebastian Alonso,,Auchenflower,-27.47137,152.98934,Private room,118,2,1,2024-09-02,0.11,3,89,1,
